2022-03-24 22:33:38,175 INFO    MainThread:47232 [wandb_setup.py:_flush():75] Loading settings from C:\Users\JoeyS\.config\wandb\settings
2022-03-24 22:33:38,176 INFO    MainThread:47232 [wandb_setup.py:_flush():75] Loading settings from C:\Users\JoeyS\PycharmProjects\CS637_Assignment2\wandb\settings
2022-03-24 22:33:38,176 INFO    MainThread:47232 [wandb_setup.py:_flush():75] Loading settings from environment variables: {}
2022-03-24 22:33:38,176 INFO    MainThread:47232 [wandb_setup.py:_flush():75] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'C:/Users/JoeyS/PycharmProjects/CS637_Assignment2/main.py'}
2022-03-24 22:33:38,177 INFO    MainThread:47232 [wandb_init.py:_log_setup():405] Logging user logs to C:\Users\JoeyS\PycharmProjects\CS637_Assignment2\wandb\run-20220324_223338-1dt6exnz\logs\debug.log
2022-03-24 22:33:38,178 INFO    MainThread:47232 [wandb_init.py:_log_setup():406] Logging internal logs to C:\Users\JoeyS\PycharmProjects\CS637_Assignment2\wandb\run-20220324_223338-1dt6exnz\logs\debug-internal.log
2022-03-24 22:33:38,180 INFO    MainThread:47232 [wandb_init.py:init():439] calling init triggers
2022-03-24 22:33:38,180 INFO    MainThread:47232 [wandb_init.py:init():442] wandb.init called with sweep_config: {}
config: {}
2022-03-24 22:33:38,181 INFO    MainThread:47232 [wandb_init.py:init():492] starting backend
2022-03-24 22:33:38,182 INFO    MainThread:47232 [backend.py:_multiprocessing_setup():99] multiprocessing start_methods=spawn, using: spawn
2022-03-24 22:33:38,192 INFO    MainThread:47232 [backend.py:ensure_launched():219] starting backend process...
2022-03-24 22:33:38,253 INFO    MainThread:47232 [backend.py:ensure_launched():224] started backend process with pid: 12444
2022-03-24 22:33:38,253 INFO    MainThread:47232 [wandb_init.py:init():501] backend started and connected
2022-03-24 22:33:38,258 INFO    MainThread:47232 [wandb_init.py:init():565] updated telemetry
2022-03-24 22:33:38,259 INFO    MainThread:47232 [wandb_init.py:init():596] communicating run to backend with 30 second timeout
2022-03-24 22:33:38,946 INFO    MainThread:47232 [wandb_run.py:_on_init():1759] communicating current version
2022-03-24 22:33:39,031 INFO    MainThread:47232 [wandb_run.py:_on_init():1763] got version response 
2022-03-24 22:33:39,031 INFO    MainThread:47232 [wandb_init.py:init():625] starting run threads in backend
2022-03-24 22:33:39,144 INFO    MainThread:47232 [wandb_run.py:_console_start():1733] atexit reg
2022-03-24 22:33:39,145 INFO    MainThread:47232 [wandb_run.py:_redirect():1606] redirect: SettingsConsole.WRAP
2022-03-24 22:33:39,145 INFO    MainThread:47232 [wandb_run.py:_redirect():1643] Wrapping output streams.
2022-03-24 22:33:39,146 INFO    MainThread:47232 [wandb_run.py:_redirect():1667] Redirects installed.
2022-03-24 22:33:39,146 INFO    MainThread:47232 [wandb_init.py:init():664] run started, returning control to user process
2022-03-24 22:33:39,201 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,207 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,211 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,216 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
