Sequential(
  (0): Linear(in_features=18, out_features=25, bias=True)
  (1): ReLU()
  (2): Linear(in_features=25, out_features=34, bias=True)
  (3): Sigmoid()
  (4): Linear(in_features=34, out_features=4, bias=True)
  (5): ReLU()
  (6): Linear(in_features=4, out_features=1, bias=True)
)
99 188.38415250692728
199 188.38185918520077
299 188.38105301144236
399 188.38034911203428
499 188.37960448669372
599 188.37880727642175
699 188.37794923567762
799 188.37702421890623
899 188.37602499013195
999 188.3749442177515
1099 188.3737746746567
1199 188.37250745895784
1299 188.37113426393555
1399 188.369645023202
1499 188.3680285218163
1599 188.36627348484345
1699 188.36436761525405
1799 188.36229694102838
1899 188.36004679419779
1999 188.35760223688118
2099 188.3549456661521
2199 188.35205627689845
2299 188.34891431759058
2399 188.345495365595
2499 188.34177465097758
2599 188.3377244919038
2699 188.33331150149232
2799 188.32850400544245
2899 188.32326765777484
2999 188.31756554956928
3099 188.31135143439244
3199 188.30457764222834
3299 188.2971950672749
3399 188.28914347236574
3499 188.28035920325925
3599 188.27077536589422
3699 188.26032078766647
3799 188.24891377433528
3899 188.23646700584402
3999 188.2228787532251
4099 188.20803675439305
4199 188.19182203324877
4299 188.1741011562962
4399 188.15473737773956
4499 188.13355520051255
4599 188.11036970733375
4699 188.08498452176542
4799 188.05713855822887
4899 188.02659796949257
4999 187.99309346307598
5099 187.95628942321022
5199 187.9158687886241
5299 187.87146685012132
5399 187.8226343291352
5499 187.7688874841832
5599 187.70967761737492
5699 187.64434998594965
5799 187.57213933476226
5899 187.492279618086
5999 187.4038610491844
6099 187.30585624398844
6199 187.19706165412558
6299 187.0760154097007
6399 186.94119589808565
6499 186.7907279119903
6599 186.6225795448322
6699 186.43516456965978
6799 186.2253566886513
6899 185.98945177897397
6999 185.7236255507121
7099 185.42331501162562
7199 185.08319454490322
7299 184.69716941100273
7399 184.25797329955432
7499 183.7572554879705
7599 183.1855751109181
7699 182.53123249563777
7799 181.78102972077795
7899 180.92027299372398
7999 179.9328146573065
8099 178.80123583561544
8199 177.50740478824738
8299 176.03642620258663
8399 174.37481558467928
8499 172.51862482590502
8599 170.4737067886751
8699 168.26845608432222
8799 165.9572482144768
8899 163.6138719817697
8999 161.3317124249525
9099 159.21082938993857
9199 157.34115555922384
9299 155.77544879196455
9399 154.53258582633657
9499 153.57971545156278
9599 152.86223367966303
9699 152.36462598391023
9799 152.01560996100307
9899 151.7654010506218
9999 151.57939075833164
Hello World
