Sequential(
  (0): Linear(in_features=18, out_features=25, bias=True)
  (1): ReLU()
  (2): Linear(in_features=25, out_features=34, bias=True)
  (3): Sigmoid()
  (4): Linear(in_features=34, out_features=4, bias=True)
  (5): ReLU()
  (6): Linear(in_features=4, out_features=1, bias=True)
)
99 188.27305621751944
199 188.25897140450297
299 188.24429828126733
399 188.2289678122134
499 188.21290824341025
599 188.19604204536859
699 188.17828874000628
799 188.15956476403596
899 188.139777324534
999 188.1188263898436
1099 188.09660825199444
1199 188.07301204678566
1299 188.04791396144518
1399 188.02118366878847
1499 187.99268285999653
1599 187.96225656558147
1699 187.92973752966418
1799 187.89494457645714
1899 187.85767648881102
1999 187.8177176301992
2099 187.77482880063508
2199 187.7287489371707
2299 187.67919391557422
2399 187.62584555575904
2499 187.5683525128398
2599 187.50633469649793
2699 187.4393551094381
2799 187.36693940276422
2899 187.28855271618454
2999 187.2035876980363
3099 187.111364559028
3199 187.01113263015372
3299 186.9020297798838
3399 186.78307854084392
3499 186.65315978674602
3599 186.5110401273348
3699 186.35527501884846
3799 186.18423057822343
3899 185.99607292501554
3999 185.78861305939995
4099 185.55935974350916
4199 185.30537533074846
4299 185.02330399161266
4399 184.70925460384967
4499 184.35872284906773
4599 183.96637110261173
4699 183.5260555989248
4799 183.0304759858092
4899 182.47105183951945
4999 181.8378069363493
5099 181.11912908397923
5199 180.30194406627598
5299 179.37079006505815
5399 178.30912866214135
5499 177.09995606136545
5599 175.72393968588756
5699 174.1640240521092
5799 172.41003236163377
5899 170.45510436854403
5999 168.30366135880098
6099 165.98106686426732
6199 163.53657475066905
6299 161.04808871765158
6399 158.61899599311067
6499 156.36821869948096
6599 154.40466739657268
6699 152.7987311664295
6799 151.5717173929355
6899 150.69256246230574
6999 150.09640650614284
7099 149.7086742399086
7199 149.46201412908573
7299 149.3044530339064
7399 149.2004070021016
7499 149.12725664408356
7599 149.0715776071333
7699 149.0251129387643
7799 148.98238212765517
7899 148.94163904186007
7999 148.9026003756374
8099 148.86768468816973
8199 148.8342992319239
8299 148.80065114594692
8399 148.76791023693744
8499 148.73673564155544
8599 148.70696540500614
8699 148.67813357654245
8799 148.64926814598886
8899 148.62234383578866
8999 148.59584240807644
9099 148.5698759204513
9199 148.54481750601838
9299 148.52072037984559
9399 148.49751434177446
9499 148.4752871895848
9599 148.452972031115
9699 148.4308092650783
9799 148.4091041657733
9899 148.38800344599937
9999 148.36732669620883
Hello World
